city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Round Lake, IL",8.6,2,11
"Royal Kunia, HI",5,3,13
"Sauk Village, IL",27.6,5,18
"Schiller Park, IL",11,4,16
"Schofield Barracks, HI",8.5,4,18
"Seymour, IN",19.1,4,12
"Shelbyville, IN",12.9,2,10
"Shiloh, IL",9.4,4,12
"Shorewood, IL",3,6,17
"South Elgin, IL",6,2,10
"South Holland, IL",13.6,8,21
"Speedway, IN",13.7,8,20
"St. John, IN",2.4,2,10
"Sterling, IL",15.2,4,12
"Streator, IL",22.1,4,13
"Summit, IL",13.8,3,13
"Swansea, IL",7.3,4,12
"Sycamore, IL",9.5,3,13
"Taylorville, IL",14.3,3,11
"Troy, IL",6.7,2,10
US,12.8,5,14
"Villa Park, IL",5.8,2,10
"Vincennes, IN",23.7,4,12
"Wabash, IN",14.8,5,13
"Wahiawa, HI",17.3,3,13
"Waianae, HI",21.2,4,18
"Wailuku, HI",6.6,3,16
"Waimalu, HI",6.4,3,14
"Waimea, HI",9.6,4,16
"Waipio, HI",4.6,3,13
"Warrenville, IL",8.1,2,13
"Warsaw, IN",14.2,4,13
"Washington, IL",4.9,3,10
"Washington, IN",15.9,4,12
"Waterloo, IL",2.8,4,12
"Wauconda, IL",4.1,1,9
"Westchester, IL",3.3,4,16
"Western Springs, IL",2.3,3,13
"Westmont, IL",11.4,2,10
"Winnetka, IL",2.1,1,8
"Wood Dale, IL",5.2,3,14
"Wood River, IL",16.4,5,12
"Worth, IL",16,3,13
"Yorktown, IN",5.4,4,12
"Yorkville, IL",2.7,2,11
"Zion, IL",14.9,7,20
"Abbeville, LA",30.6,8,15
"Aberdeen, MD",15.8,3,13
"Accokeek, MD",2.6,3,16
"Adelphi, MD",17.5,7,24
"Altoona, IA",6.1,2,10
"Andover, KS",4.1,3,12
"Annapolis Neck, MD",2.4,2,10
"Arbutus, MD",9.6,4,15
"Arkansas City, KS",13.7,4,12
"Arnold, MD",3.7,2,9
"Ashland, KY",23,5,11
"Atchison, KS",16.2,3,12
"Auburn, ME",11.1,4,11
"Augusta, ME",19.3,4,12
"Baker, LA",14.9,7,18
"Ballenger Creek, MD",11,3,13
"Bardstown, KY",12.7,4,12
"Bastrop, LA",44,10,16
"Bayou Blue, LA",13.6,6,14
"Bayou Cane, LA",19.1,5,14
"Bel Air, MD",17.2,2,8
"Belle Chasse, LA",14.3,6,15
"Beltsville, MD",8.6,4,20
"Bensville, MD",7.1,4,17
"Berea, KY",17.7,5,14
"Biddeford, ME",13.3,2,9
"Bogalusa, LA",32.3,8,16
"Boone, IA",6.9,3,12
"Brock Hall, MD",1.9,2,17
"Brooklyn Park, MD",9.6,3,13
"Broussard, LA",16.9,4,12
"Brunswick, ME",9.5,2,9
"Burlington, KY",7.3,2,11
"Burlington, IA",18,4,12
"California, MD",8.7,3,12
"Calverton, MD",9.7,4,19
"Cambridge, MD",23.3,4,12
"Camp Springs, MD",3.6,5,21
"Campbellsville, KY",21.5,6,14
"Chalmette, LA",24.3,6,15
"Claiborne, LA",10.4,8,16
"Clarksburg, MD",4.1,2,11
"Clive, IA",3.2,2,10
"Cloverly, MD",2.6,3,18
"Cockeysville, MD",10.2,3,14
"Colesville, MD",6.6,3,18
"Coralville, IA",9.6,3,13
