city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Yuba City, CA",13,5,16
"Yucaipa, CA",9.6,3,14
"Agoura Hills, CA",3.6,1,9
"Alamo, CA",3.5,1,8
"Albany, CA",8.1,3,13
"Alpine, CA",9,3,12
"Alum Rock, CA",10.7,3,16
"American Canyon, CA",7.2,3,13
"Anderson, CA",19.8,3,12
"Arcata, CA",34.7,5,15
"Arroyo Grande, CA",5.6,2,12
"Artesia, CA",6.7,3,15
"Arvin, CA",27.9,5,15
"Ashland, CA",15.9,3,16
"Auburn, CA",12.9,2,9
"Avenal, CA",25.6,6,19
"Avocado Heights, CA",6.9,5,21
"Barstow, CA",29.8,5,16
"Big Bear City, CA",18.2,3,13
"Bloomington, CA",14.1,6,20
"Blythe, CA",22.4,8,19
"Bonita, CA",6.1,4,18
"Bostonia, CA",17.4,4,15
"Calabasas, CA",9.4,1,9
California,12.3,5,14
"California City, CA",25.4,5,15
"Cameron Park, CA",7.8,2,10
"Camp Pendleton South, CA",8.9,3,17
"Canyon Lake, CA",6.4,3,15
"Capitola, CA",14.4,3,12
"Carpinteria, CA",8.4,3,14
"Casa de Oro-Mount Helix, CA",10.2,3,15
"Castaic, CA",3.6,3,13
"Charter Oak, CA",11.8,2,13
"Cherryland, CA",11.5,3,16
"Chowchilla, CA",16,6,18
"Citrus, CA",10.2,5,20
"Clayton, CA",1.2,2,11
"Clearlake, CA",26.5,6,15
"Coalinga, CA",16.5,9,23
"Commerce, CA",14.8,11,30
"Corcoran, CA",27.6,6,19
"Coronado, CA",5.6,2,11
"Coto de Caza, CA",3.8,1,10
"Cudahy, CA",29.1,11,30
"Delhi, CA",14.2,6,21
"Diamond Springs, CA",11.9,2,10
"Dinuba, CA",31.9,9,22
"Discovery Bay, CA",7.1,2,12
"Dixon, CA",6.7,2,13
"Duarte, CA",9.1,5,20
"East Hemet, CA",21.3,4,16
"East Rancho Dominguez, CA",15.2,9,26
"East San Gabriel, CA",9.4,3,16
"East Whittier, CA",6.2,6,15
"El Segundo, CA",4.5,1,11
"El Sobrante, CA",9.6,3,14
"El Sobrante, CA",3,3,14
"Emeryville, CA",13.5,6,18
"Exeter, CA",22,9,22
"Fairview, CA",2.4,3,17
"Farmersville, CA",24.4,9,22
"Fillmore, CA",6.6,4,16
"Fortuna, CA",14.7,5,15
"Grand Terrace, CA",8.8,5,19
"Granite Bay, CA",4.8,2,9
"Grass Valley, CA",15.7,3,11
"Greenfield, CA",11.9,6,20
"Grover Beach, CA",9.4,2,12
"Half Moon Bay, CA",6.8,2,12
"Hawaiian Gardens, CA",17.2,3,15
"Healdsburg, CA",10,2,10
"Hermosa Beach, CA",4.5,1,11
"Hillsborough, CA",2.4,2,12
"Home Gardens, CA",13.1,2,14
"Imperial, CA",9.2,8,21
"Kerman, CA",16.2,9,23
"King City, CA",16.8,6,20
"Kingsburg, CA",8.4,6,18
"La Canada Flintridge, CA",3.2,2,12
"La Crescenta-Montrose, CA",6.6,2,12
"La Palma, CA",6.4,3,14
"La Riviera, CA",10.8,3,15
"Laguna Beach, CA",5.7,2,10
"Laguna Woods, CA",11.2,1,10
"Lake Los Angeles, CA",16.9,3,13
"Lakeland Village, CA",11,3,15
"Lakeside, CA",8.6,2,12
"Lamont, CA",28.2,10,25
"Larkspur, CA",7.7,2,10
"Lathrop, CA",11.3,3,16
"Lemon Hill, CA",28.3,7,19
"Lennox, CA",17.1,7,25
"Linda, CA",22.4,5,16
"Lindsay, CA",29.5,9,22
"Live Oak, CA",9.6,3,12
"Livingston, CA",18.6,6,21
"Loma Linda, CA",13.6,5,18
"Lomita, CA",11.8,2,11
"Los Alamitos, CA",10.2,3,14
"Los Osos, CA",10,2,12
"Magalia, CA",13.3,4,12
"Malibu, CA",8.6,1,9
"Marina, CA",10.2,3,14
"Marysville, CA",23.5,5,16
"McFarland, CA",29.3,7,20
"McKinleyville, CA",18,5,15
"Mead Valley, CA",14.9,4,18
"Mendota, CA",37.5,9,23
"Mill Valley, CA",5.5,2,10
"Millbrae, CA",6.6,2,12
"Moraga, CA",4.9,1,8
"Morro Bay, CA",7.9,2,12
"Mountain House, CA",3.1,3,16
"Muscoy, CA",24.9,9,23
"Newman, CA",7.7,5,19
"Nipomo, CA",9.6,2,12
"North Auburn, CA",12.1,2,9
"North Fair Oaks, CA",10.4,3,14
"North Tustin, CA",3.5,2,14
"Oak Hills, CA",7.5,5,16
"Oak Park, CA",5.8,2,10
"Oakdale, CA",12.1,4,16
"Olivehurst, CA",11.9,5,16
"Orange Cove, CA",48.7,6,18
"Orinda, CA",2.1,1,8
"Oroville, CA",21.2,4,12
"Pacific Grove, CA",5.6,3,14
"Palos Verdes Estates, CA",4.3,2,11
"Paradise, CA",15.9,4,12
"Parkway, CA",21.8,7,19
"Parlier, CA",30.2,6,18
"Patterson, CA",6.5,5,19
"Phelan, CA",17.4,3,13
"Piedmont, CA",4.3,2,11
"Pinole, CA",5.2,3,14
"Placerville, CA",13.3,2,10
"Port Hueneme, CA",12.6,5,21
"Prunedale, CA",6.4,4,15
"Quartz Hill, CA",8.5,6,18
"Ramona, CA",6.6,2,12
"Rancho Mirage, CA",11.3,4,13
"Rancho San Diego, CA",5.6,4,15
"Red Bluff, CA",26.9,7,17
"Rio Linda, CA",15.5,5,18
"Ripon, CA",6.4,4,15
"Riverbank, CA",14.3,4,16
"Rodeo, CA",13.5,3,14
"Rosamond, CA",14.6,5,15
"Rosedale, CA",7.8,6,19
"Rosemont, CA",14.7,3,15
"Rossmoor, CA",3.6,3,14
"Salida, CA",7.9,5,18
"San Anselmo, CA",3.9,2,10
"San Diego Country Estates, CA",1.8,2,12
"San Fernando, CA",10.1,7,23
"San Marino, CA",6.1,3,16
"Santa Fe Springs, CA",11.5,3,16
"Scotts Valley, CA",4.2,3,14
"Seal Beach, CA",5.7,3,14
"Selma, CA",23.4,9,23
"Shafter, CA",22.2,7,20
"Shasta Lake, CA",17.5,3,12
"Sierra Madre, CA",5.7,2,12
"Signal Hill, CA",15.5,7,21
"Solana Beach, CA",4.7,1,10
"Sonoma, CA",10.9,2,10
"Soquel, CA",7,3,13
"South El Monte, CA",21.5,8,24
"South Lake Tahoe, CA",12.8,2,10
"South San Jose Hills, CA",9.1,4,18
"Stanford, CA",17.2,2,12
"Stevenson Ranch, CA",5.1,3,13
"Sun Village, CA",22.2,3,13
"Susanville, CA",17.3,4,13
"Tamalpais-Homestead Valley, CA",3.3,2,10
"Tehachapi, CA",11.1,5,15
"Truckee, CA",10,3,11
"Ukiah, CA",18.1,6,15
US,12.8,5,14
"Valinda, CA",10.2,5,20
"Valle Vista, CA",16,4,16
"Valley Center, CA",13.1,3,12
"View Park-Windsor Hills, CA",8.7,2,13
"Vincent, CA",5.4,6,19
"Walnut Park, CA",15.2,11,29
"West Carson, CA",9,4,18
"West Puente Valley, CA",11.1,5,21
"West Rancho Dominguez, CA",14.1,9,26
"Willowbrook, CA",20.8,9,26
"Winter Gardens, CA",9.1,2,12
"Winton, CA",20,7,20
"Woodcrest, CA",5.3,2,14
"Yucca Valley, CA",19,5,16
